lat,lon,month,avg,std,spike,reduction
8.5,73.5,1,31.93308421622984,0.7026924729335008,34.04116163503034,29.82500679742934
8.5,73.5,2,32.40582400829646,0.773244974158976,34.72555893077339,30.086089085819534
8.5,73.5,3,33.13030269707661,0.8269607181944137,35.61118485165985,30.649420542493367
8.5,73.5,4,33.328900506770836,0.9382786944999283,36.14373659027062,30.51406442327105
8.5,73.5,5,32.55159479183468,1.491060669882517,37.02477680148223,28.07841278218713
8.5,73.5,6,30.23849301979167,1.4641344332357646,34.63089631949896,25.846089720084375
8.5,73.5,7,29.42435859425403,1.2012119016244587,33.02799429912741,25.820722889380654
8.5,73.5,8,29.582749945060485,1.0420049567618133,32.70876481534592,26.456735074775047
8.5,73.5,9,30.2666893109375,1.0462172174102604,33.405340963168285,27.12803765870672
8.5,73.5,10,30.741423705141127,1.0942175853750091,34.024076461266155,27.4587709490161
8.5,73.5,11,31.193376290104165,1.0193990902430659,34.251573560833364,28.135179019374966
8.5,73.5,12,31.72076588558468,0.8437162567387485,34.251914655800924,29.189617115368435
8.5,76.5,1,30.440476978326615,0.7507779752805454,32.69281090416825,28.18814305248498
8.5,76.5,2,31.21125741039823,0.8052045634112198,33.62687110063189,28.79564372016457
8.5,76.5,3,32.18815714717742,0.9403438278904437,35.009188630848755,29.36712566350609
8.5,76.5,4,32.470834372395835,1.0647992019121653,35.66523197813233,29.276436766659337
8.5,76.5,5,32.13457085887097,1.4173224146731642,36.38653810289047,27.88260361485148
8.5,76.5,6,30.340261510416667,1.4397661781655606,34.65956004491335,26.020962975919986
8.5,76.5,7,29.630177626512097,1.2018508267338788,33.23573010671373,26.024625146310463
8.5,76.5,8,29.73554309022177,1.0403768961047957,32.856673778536155,26.614412401907384
8.5,76.5,9,30.200617875,1.0149412645877365,33.245441668763206,27.155794081236788
8.5,76.5,10,30.002878999495966,1.1303181658043788,33.3938334969091,26.61192450208283
8.5,76.5,11,29.657704905729165,1.0696871958431153,32.86676649325851,26.44864331819982
8.5,76.5,12,29.96295065423387,0.942198331630341,32.789545649124896,27.136355659342847
8.5,77.5,1,31.50578680040323,0.8040105849210322,33.91781855516633,29.093755045640133
8.5,77.5,2,32.63324774612831,0.8742790997801634,35.2560850454688,30.010410446787823
8.5,77.5,3,33.946241592741934,1.0113905236277512,36.98041316362519,30.912070021858682
8.5,77.5,4,34.39907316197916,1.1605288197216004,37.88065962114396,30.917486702814358
8.5,77.5,5,34.26361395614919,1.4145142620967444,38.50715674243943,30.02007116985896
8.5,77.5,6,32.676707366145834,1.3886448405214054,36.84264188771005,28.510772844581616
8.5,77.5,7,32.02990398840726,1.201198187803253,35.63349855181702,28.426309424997505
8.5,77.5,8,32.05887909677419,1.0351480555056651,35.16432326329119,28.953434930257195
8.5,77.5,9,32.29024890104167,1.0139191066917352,35.33200622111688,29.248491580966466
8.5,77.5,10,31.690194554939513,1.201128272013187,35.293579370979074,28.08680973889995
8.5,77.5,11,30.934506453125,1.115452824908775,34.280864927851326,27.588147978398673
8.5,77.5,12,30.99517143800403,0.9793780735420402,33.93330565863015,28.057037217377907
8.5,78.5,1,30.47955680796371,0.8666969198002503,33.07964756736446,27.87946604856296
8.5,78.5,2,31.790929362278764,0.9764039300927237,34.720141152556934,28.861717572000593
8.5,78.5,3,33.44351184677419,1.1155442450101698,36.790144581804704,30.096879111743682
8.5,78.5,4,34.43267168802083,1.2309545726134383,38.12553540586115,30.739807970180518
8.5,78.5,5,34.86909535987903,1.3590893708619836,38.94636347246498,30.79182724729308
8.5,78.5,6,33.98143097291667,1.2421539356673468,37.70789277991871,30.25496916591463
8.5,78.5,7,33.36674200957661,1.1713636372663796,36.88083292137575,29.852651097777475
8.5,78.5,8,33.22266689868952,1.0231835446054707,36.29221753250593,30.153116264873105
8.5,78.5,9,33.06470404895833,1.037052845180616,36.17586258450018,29.953545513416486
8.5,78.5,10,31.93588185030242,1.3530425354217035,35.99500945656753,27.876754244037308
8.5,78.5,11,30.51668421510417,1.2112354029238113,34.150390423875606,26.882978006332735
8.5,78.5,12,30.039371330645164,1.0444615234496877,33.172755900994225,26.905986760296102
9.5,76.5,1,30.679479424899196,0.7954423781680591,33.06580655940337,28.293152290395017
9.5,76.5,2,31.75926317809735,0.8760863349017729,34.38752218280267,29.13100417339203
9.5,76.5,3,32.98264919102822,0.978274088813806,35.91747145746964,30.047826924586804
9.5,76.5,4,33.09857252447917,1.0971720180779216,36.390088578712934,29.807056470245403
9.5,76.5,5,32.23497469102822,1.536023076129074,36.84304391941544,27.626905462640998
9.5,76.5,6,29.858305533333336,1.569582023649413,34.56705160428157,25.1495594623851
9.5,76.5,7,28.981526885584675,1.2492814763213191,32.72937131454863,25.233682456620716
9.5,76.5,8,29.161530099798387,1.0853234106469773,32.41750033173932,25.905559867857455
9.5,76.5,9,29.951519543229164,1.0657124275855605,33.148656825985846,26.754382260472482
9.5,76.5,10,29.95246248235887,1.143668925365256,33.38346925845464,26.521455706263104
9.5,76.5,11,29.751901736979168,1.0854560495089158,33.00826988550592,26.49553358845242
9.5,76.5,12,30.060991443044358,0.9738730503517126,32.9826105940995,27.13937229198922
9.5,77.5,1,30.199893859879033,0.795674557255101,32.58691753164434,27.81287018811373
9.5,77.5,2,31.383257195243363,0.8968894144197096,34.07392543850249,28.692588951984234
9.5,77.5,3,32.799147739415325,1.0376141453180703,35.91199017536954,29.686305303461115
9.5,77.5,4,33.259933978125,1.1662140685772253,36.758576183856675,29.76129177239332
9.5,77.5,5,33.20016654435484,1.4204942445671902,37.46164927805641,28.938683810653274
9.5,77.5,6,31.63414746770833,1.4259671792111106,35.912049005341665,27.356245930074998
9.5,77.5,7,30.89646061844758,1.215216657257149,34.542110590219025,27.250810646676133
9.5,77.5,8,30.924076768145163,1.0563507644355958,34.09312906145195,27.755024474838375
9.5,77.5,9,31.1175455875,1.0237234466953233,34.18871592758597,28.04637524741403
9.5,77.5,10,30.438808458669353,1.225404816638388,34.115022908584514,26.76259400875419
9.5,77.5,11,29.596037147916665,1.1132586383263086,32.93581306289559,26.25626123293774
9.5,77.5,12,29.648326107358873,0.9795311038788272,32.58691941899536,26.709732795722392
9.5,78.5,1,28.976709453125,0.9694189754679549,31.884966379528866,26.068452526721135
9.5,78.5,2,30.64590468584071,1.1220492431140439,34.012052415182836,27.279756956498577
9.5,78.5,3,32.66393763256048,1.2539817137631621,36.42588277384997,28.901992491270995
9.5,78.5,4,33.86329982239583,1.357574922152978,37.936024588854764,29.7905750559369
9.5,78.5,5,34.65216264364919,1.4933716415391087,39.13227756826652,30.172047719031866
9.5,78.5,6,34.03741713229167,1.2731317614072217,37.856812416513336,30.21802184807001
9.5,78.5,7,33.27821830645161,1.2420189947112907,37.00427529058548,29.55216132231774
9.5,78.5,8,33.11964253578629,1.103577115745429,36.430373883022575,29.808911188550002
9.5,78.5,9,32.6961954015625,1.1549873143435543,36.161157344593164,29.231233458531836
9.5,78.5,10,31.14358349596774,1.5877998743329131,35.90698311896648,26.380183872969
9.5,78.5,11,29.187744888541665,1.402824958707408,33.39621976466389,24.97927001241944
9.5,78.5,12,28.391459665322582,1.1768204308825978,31.921920957970375,24.86099837267479
9.5,79.5,1,29.891497221774195,0.9832339407779874,32.84119904410816,26.94179539944023
9.5,79.5,2,31.58631598949115,1.1450632967605234,35.02150587977272,28.15112609920958
9.5,79.5,3,33.70261094959678,1.2782069756651913,37.53723187659236,29.86799002260121
9.5,79.5,4,35.16587951875,1.368631617347333,39.271774370792,31.059984666708004
9.5,79.5,5,36.139543246471774,1.5522077894188502,40.79616661472832,31.482919878215224
9.5,79.5,6,35.62718766614583,1.2921218253090785,39.503553142073066,31.750822190218592
9.5,79.5,7,34.8670771234879,1.3184951283253847,38.82256250846406,30.91159173851175
9.5,79.5,8,34.60002244153225,1.2324045202526508,38.297236002290205,30.9028088807743
9.5,79.5,9,33.990456726041664,1.2409666122565624,37.71335656281135,30.267556889271976
9.5,79.5,10,32.326486308971774,1.653029470735123,37.28557472117714,27.367397896766406
9.5,79.5,11,30.253225692708334,1.4646007894839008,34.647028061160036,25.859423324256632
9.5,79.5,12,29.343066653225804,1.1601402071163365,32.823487274574816,25.862646031876796
10.5,75.5,1,29.64236576814516,0.8142201129188793,32.0850261069018,27.199705429388523
10.5,75.5,2,30.786517265486726,0.9223775620059973,33.55364995150472,28.019384579468735
10.5,75.5,3,32.110853072580646,0.9669687557043696,35.011759339693754,29.20994680546754
10.5,75.5,4,32.3692782203125,1.0516884293806816,35.52434350845455,29.214212932170458
10.5,75.5,5,31.337820414314518,1.6069569352179953,36.1586912199685,26.516949608660532
10.5,75.5,6,28.511179031250002,1.723732898624388,33.68237772712317,23.339980335376836
