lat,lon,month,avg,std,spike,reduction
8.5,73.5,1,32.15848335759494,0.7739807244962476,34.48042553108368,29.836541184106196
8.5,73.5,2,33.000063449558425,1.1725988833956904,36.5178600997455,29.482266799371352
8.5,73.5,3,29.871933070824795,1.2576977068740598,33.64502619144697,26.098839950202617
8.5,73.5,4,31.218795282778537,1.0694689375042237,34.42720209529121,28.010388470265866
8.5,76.5,1,30.807979884757383,0.8672543201659009,33.40974284525509,28.20621692425968
8.5,76.5,2,32.262278253906246,1.1686002148218058,35.76807889837166,28.75647760944083
8.5,76.5,3,29.971833801485655,1.2225676351400787,33.63953670690589,26.30413089606542
8.5,76.5,4,29.876868113451085,1.0610792073198265,33.060105735410566,26.693630491491604
8.5,77.5,1,32.043352567774264,1.0097851240585696,35.07270793994997,29.013997195598556
8.5,77.5,2,34.2008447486413,1.2221103615725362,37.867175833358914,30.534513663923693
8.5,77.5,3,32.260335767674185,1.1966707524187696,35.8503480249305,28.670323510417877
8.5,77.5,4,31.209581949728257,1.154411554864397,34.67281661432145,27.746347285135066
8.5,78.5,1,31.10481038871308,1.1298040182400177,34.49422244343313,27.715398333993026
8.5,78.5,2,34.24642363094429,1.3764249729411706,38.375698549767804,30.11714871212078
8.5,78.5,3,33.40701415420082,1.1734850003919217,36.927469155376585,29.886559153025058
8.5,78.5,4,30.834058424592396,1.455055631503729,35.19922531910358,26.46889153008121
9.5,76.5,1,31.194313028744727,0.9938542243061687,34.17587570166323,28.21275035582622
9.5,76.5,2,32.768516479110055,1.2870216114640172,36.62958131350211,28.907451644718
9.5,76.5,3,29.481389498719263,1.3263283878948777,33.46037466240389,25.50240433503463
9.5,76.5,4,29.923631780400818,1.0772092512758447,33.15525953422835,26.692004026573283
9.5,77.5,1,30.764113509229958,1.0315101743770871,33.85864403236122,27.669582986098696
9.5,77.5,2,33.08453002326766,1.235991241899121,36.792503748965025,29.376556297570296
9.5,77.5,3,31.13924139869365,1.2259908791012524,34.81721403599741,27.461268761389892
9.5,77.5,4,29.89763354330842,1.175717802636491,33.42478695121789,26.370480135398946
9.5,78.5,1,29.772570471255275,1.336757189623301,33.782842040125175,25.76229890238537
9.5,78.5,2,33.72497938298234,1.5990735638967524,38.5222000746726,28.927758691292084
9.5,78.5,3,33.2814923125,1.2879961523507786,37.145480769552336,29.417503855447663
9.5,78.5,4,29.57846396365489,1.8186224550654566,35.03433132885126,24.12259659845852
9.5,79.5,1,30.699575368407174,1.3591941592980878,34.777157846301435,26.62199289051291
9.5,79.5,2,35.00090397435462,1.7281157024400269,40.1852510816747,29.816556867034542
9.5,79.5,3,34.77056900230533,1.3986325526756664,38.96646666033233,30.57467134427833
9.5,79.5,4,30.645140354449733,1.9097650403776834,36.374435475582786,24.915845233316684
10.5,75.5,1,30.187889477848103,1.0387297745252606,33.304078801423884,27.07170015427232
10.5,75.5,2,31.934643746773098,1.3181252088734725,35.889019373393516,27.98026812015268
10.5,75.5,3,28.046257985271517,1.4266733569635768,32.326278056162245,23.76623791438079
10.5,75.5,4,28.936677299252718,1.0610889034789963,32.1199440096897,25.75341058881573
10.5,76.5,1,28.674575561972574,1.1787904141001888,32.21094680427314,25.138204319672006
10.5,76.5,2,30.92338746042799,1.373021764750021,35.04245275467805,26.804322166177926
10.5,76.5,3,27.188984856941598,1.4121559910079298,31.425452829965387,22.95251688391781
10.5,76.5,4,27.376590841202443,1.1227679123655545,30.744894578299107,24.00828710410578
10.5,77.5,1,29.413285930379743,1.6138955632623013,34.25497262016665,24.57159924059284
10.5,77.5,2,33.3478526953125,1.5158340176409966,37.89535474823549,28.800350642389507
10.5,77.5,3,30.42174682095287,1.390003504462531,34.591757334340464,26.251736307565274
10.5,77.5,4,28.296065937330166,1.5691355807068779,33.0034726794508,23.58865919520953
10.5,78.5,1,31.48075484309072,1.553570518264459,36.141466397884095,26.82004328829734
10.5,78.5,2,36.14467054059104,1.7198955919478223,41.304357316434505,30.984983764747568
10.5,78.5,3,35.13191025550717,1.4419452856496209,39.457746112456036,30.80607439855831
10.5,78.5,4,30.887635642832883,1.9148584743354475,36.63221106583923,25.14306021982654
10.5,79.5,1,30.57067410100211,1.3756406247960205,34.69759597539017,26.443752226614045
