,lat,lon,avg,std,spike,reduction
229,16.5,82.5,35.757690116207954,2.2989719556090744,42.654605983035175,28.860774249380732
233,17.5,73.5,34.30210025543478,1.4387431310503966,38.61832964858597,29.98587086228359
237,17.5,74.5,35.7880535422894,1.682150140556636,40.834503963959314,30.741603120619487
241,17.5,75.5,37.61374637449049,1.9732187619929056,43.53340266046921,31.694090088511768
245,17.5,76.5,38.65227007795517,2.328994809205661,45.63925450557215,31.665285650338184
249,17.5,77.5,38.22734506691576,2.435611226608463,45.534178746741155,30.92051138709037
253,17.5,78.5,38.36819890743886,2.5923813549055827,46.14534297215561,30.591054842722112
257,17.5,79.5,38.77254782269021,2.66582381188238,46.770019258337356,30.77507638704307
261,17.5,80.5,37.39900615047554,2.6035875820057024,45.209768896492655,29.58824340445843
265,17.5,81.5,36.20503522078805,2.412168594564771,43.44154100448235,28.968529437093736
269,17.5,82.5,34.670314651494564,2.122328831794529,41.03730114687815,28.30332815611098
273,17.5,83.5,34.382524631453805,1.9755235481437656,40.3090952758851,28.45595398702251
277,18.5,72.5,33.58546422095788,1.473072185289921,38.00468077682764,29.166247665088118
281,18.5,73.5,34.538906516304344,1.5143475690725092,39.08194922352188,29.995863809086817
285,18.5,74.5,36.51207192391305,1.7685894997732834,41.8178404232329,31.2063034245932
289,18.5,75.5,38.41727912347147,2.291609828181836,45.292108608016974,31.542449638925962
293,18.5,76.5,38.87066810580842,2.47546492547588,46.29706288223606,31.444273329380774
297,18.5,77.5,38.622364328125,2.5966312922109283,46.412258204757784,30.83247045149222
301,18.5,78.5,38.60435742136549,2.667194168510306,46.60593992689641,30.60277491583457
305,18.5,79.5,38.97545767781929,2.7671780170493028,47.2769917289672,30.673923626671385
309,18.5,80.5,37.84061455655571,2.662968120568012,45.829518918259744,29.851710194851677
313,18.5,81.5,36.08053434816576,2.3495054848032058,43.12905080257538,29.032017893756148
317,18.5,82.5,35.73613454127038,2.1501185124191906,42.18649007852795,29.28577900401281
321,18.5,83.5,35.2151292831182,2.0757586684692897,41.442405288526075,28.98785327771033
325,18.5,84.5,35.331635003736416,1.9414839893376583,41.15608697174939,29.507183035723443
329,19.5,72.5,35.12699921399457,1.6541714564457228,40.089513583331744,30.164484844657398
333,19.5,73.5,35.42420289555027,1.7112230030644042,40.55787190474349,30.29053388635706
337,19.5,74.5,37.814488016304345,2.1163855238337423,44.163644587805564,31.465331444803123
341,19.5,75.5,38.67948874524457,2.5229289426659958,46.24827557324256,31.11070191724658
345,19.5,76.5,38.98063336888587,2.7133688647620886,47.12073996317213,30.840526774599606
349,19.5,77.5,39.55185608559783,2.9692076540744536,48.45947904782119,30.644233123374466
353,19.5,78.5,39.81970568851902,2.9793792557015246,48.7578434556236,30.88156792141445
357,19.5,79.5,39.69075400475543,3.1492790805390247,49.1385912463725,30.24291676313836
361,19.5,80.5,38.27697599269701,2.986929470247134,47.237764403438405,29.31618758195561
365,19.5,81.5,38.342545040081525,2.858316076463415,46.91749326947176,29.767596810691277
369,19.5,82.5,36.22811693631115,2.4133145124078332,43.46806047353464,28.98817339908765
373,19.5,83.5,36.2863352766644,2.2334782202444963,42.9867699373979,29.585900615930914
377,19.5,84.5,36.327038243885866,2.18016914172319,42.86754566905544,29.786530818716297
381,19.5,85.5,34.83977269446331,1.9297346642057212,40.62897668708048,29.050568701846146
385,20.5,70.5,35.09410028566577,2.002690949478069,41.10217313409997,29.08602743723156
389,20.5,71.5,35.29455368716033,1.9297572323378855,41.08382538417399,29.505281990146674
393,20.5,72.5,35.26540519055707,1.8736440390247373,40.88633730763128,29.644473073482857
397,20.5,73.5,36.03459927972146,1.9066607659200967,41.75458157748175,30.314616981961173
401,20.5,74.5,38.03329258712636,2.269425774301029,44.84156991002945,31.225015264223273
405,20.5,75.5,38.68579361922554,2.652963302396634,46.644683526415456,30.726903712035647
409,20.5,76.5,39.31536746331522,2.875915549903549,47.94311411302586,30.68762081360457
413,20.5,77.5,39.3889794797894,3.0306982630762525,48.481074269018144,30.296884690560642
417,20.5,78.5,39.90372586294158,3.2482201478257164,49.64838630641872,30.159065419464426
421,20.5,79.5,39.14339971331522,3.4301098195456263,49.4337291719521,28.85307025467834
425,20.5,80.5,39.257554745923905,3.44022731525707,49.57823669169514,28.936872800152702
429,20.5,81.5,38.03384462805706,3.4449943204283935,48.36882758934225,27.69886166677188
433,20.5,82.5,38.17206493308424,3.3317013265085635,48.167168912609924,28.176960953558545
437,20.5,83.5,38.22761409714674,2.9849084164594575,47.182339346525104,29.272888847768368
441,20.5,84.5,36.93700236956522,2.480491504178829,44.37847688210171,29.495527857028733
445,20.5,85.5,35.17044692340353,2.108549132443639,41.49609432073445,28.844799526072606
449,20.5,86.5,35.01268008372962,2.079005749580333,41.24969733247062,28.775662834988623
453,21.5,69.5,33.87938197860055,2.080646458066623,40.12132135280042,27.63744260440068
457,21.5,70.5,34.53128271127717,2.0188235239249,40.58775328305188,28.47481213950247
461,21.5,71.5,36.041521204483686,2.150253950981979,42.49228305742963,29.590759351537763
465,21.5,72.5,37.50281623318614,2.359586274269625,44.581575055995,30.424057410377262
469,21.5,73.5,38.002518837296186,2.45912678040454,45.37989917850982,30.625138496082567
473,21.5,74.5,38.240144718580154,2.552657853213848,45.8981182782217,30.582171158938614
477,21.5,75.5,38.6547816452106,2.923719401151868,47.42593984866621,29.883623441754988
481,21.5,76.5,38.9910607707201,3.127062015557972,48.37224681739403,29.609874724046193
485,21.5,77.5,38.75374015726902,3.2746937867098205,48.57782151739847,28.92965879713956
489,21.5,78.5,38.09292303430707,3.443642558103314,48.42385070861701,27.76199535999713
493,21.5,79.5,37.89990874643343,3.5409381294658706,48.52272313483104,27.277094358035807
497,21.5,80.5,38.43830940217392,3.5863139321467936,49.19725119861429,27.679367605733532
501,21.5,81.5,37.74599694904891,3.802171307261912,49.15251087083465,26.339483027263174
505,21.5,82.5,38.13925164622962,3.6759044258383313,49.16696492374462,27.11153836871463
509,21.5,83.5,37.89208359799592,3.5210279298075298,48.455167387418506,27.32899980857333
513,21.5,84.5,38.00473393053669,3.2657012182359506,47.80183758524454,28.207630275828834
517,21.5,85.5,37.0620293170856,2.7946164522607666,45.4458786738679,28.678179960303297
521,21.5,86.5,35.738930818274454,2.522986630710528,43.307890710406035,28.16997092614287
525,21.5,87.5,34.10906739368206,2.2486318433174124,40.8549629236343,27.363171863729825
529,21.5,88.5,33.502520919327445,2.2199094817578158,40.162249364600896,26.842792474053997
533,22.5,69.5,34.07009018461277,2.189779798889001,40.63942958127977,27.500750787945762
537,22.5,70.5,34.587127960597826,2.231155925952603,41.28059573845563,27.893660182740017
541,22.5,71.5,37.23195751783288,2.558503262744808,44.907467306067296,29.55644772959846
545,22.5,72.5,37.991650397078814,2.6046965828715942,45.8057401456936,30.17756064846402
549,22.5,73.5,38.3725189779212,2.864220185054396,46.96517953308438,29.77985842275801
553,22.5,74.5,38.07952599694293,2.9664668519014903,46.97892655264741,29.180125441238467
557,22.5,75.5,38.18252143953804,3.2150007618438035,47.82752372506947,28.537519154006628
561,22.5,76.5,38.29934018834919,3.5120685228529718,48.835545756908104,27.763134619790268
565,22.5,77.5,37.71339679262908,3.634675464143397,48.61742318505927,26.80937040019889
569,22.5,78.5,37.38561575084918,3.7481447773358982,48.63005008285688,26.141181418841487
573,22.5,79.5,37.52697992730978,3.73282629878348,48.72545882366022,26.328501030959345
577,22.5,80.5,37.848183021229616,3.7601294383768407,49.12857133636014,26.56779470609909
581,22.5,81.5,37.45135442119565,3.943469934890435,49.28176422586696,25.62094461652435
585,22.5,82.5,37.25758152581522,3.807436924346229,48.6798922988539,25.83527075277653
589,22.5,83.5,37.13112384222147,3.850845212631445,48.683659480115814,25.578588204327136
593,22.5,84.5,37.101822942764954,3.4900824028091337,47.57207015119235,26.63157573433755
597,22.5,85.5,36.53751993002717,3.435138969510392,46.84293683855834,26.232103021496002
601,22.5,86.5,36.85297579738451,3.138781303801623,46.26931970878939,27.436631885979644
605,22.5,87.5,35.02051265319294,2.5099067676701385,42.55023295620335,27.490792350182524
609,22.5,88.5,34.039374307744566,2.348154070228206,41.08383651842918,26.994912097059952
613,22.5,92.5,29.76990929098012,2.148520740130653,36.21547151137208,23.32434707058816
617,23.5,68.5,34.05368408673469,2.2044518270692333,40.66703956794239,27.440328605526997
621,23.5,69.5,34.72290431419837,2.3342969022189286,41.72579502085515,27.72001360754159
625,23.5,70.5,34.982160259171195,2.500823875632943,42.484631886070034,27.479688632272364
629,23.5,71.5,36.61604569140625,2.9409446159348267,45.43887953921073,27.79321184360177
633,23.5,72.5,37.134111217391315,3.1621243189102466,46.62048417412205,27.64773826066057
637,23.5,73.5,37.15151116677989,3.1011396390494776,46.454930083928325,27.848092249631453
641,23.5,74.5,37.34003471484375,3.3384781238688115,47.35546908645018,27.324600343237318
645,23.5,75.5,37.833273328294844,3.5250319274737194,48.408369110716,27.25817754587368
649,23.5,76.5,38.36155661990489,3.749880053454853,49.61119678026945,27.111916459540325
653,23.5,77.5,37.85063116491169,3.843521787398589,49.381196527107456,26.320065802715927
657,23.5,78.5,37.82109765811821,3.9673860680053914,49.72325586213438,25.918939454102034
661,23.5,79.5,37.41938192391304,4.025041046970012,49.49450506482307,25.34425878300301
665,23.5,80.5,37.616536813519026,4.1309698440757865,50.00944634574638,25.223627281291666
669,23.5,81.5,36.72438458627717,4.226931606942356,49.40517940710424,24.0435897654501
673,23.5,82.5,36.88212408848504,4.0965365376161245,49.171733701333416,24.592514475636676
677,23.5,83.5,37.407988069293474,3.8814101617288927,49.05221855448015,25.763757584106802
681,23.5,84.5,36.6277250344769,3.8284885803070927,48.11319077539818,25.142259293555625
685,23.5,85.5,36.29763519412364,3.600025299954192,47.09771109398621,25.497559294261066
689,23.5,86.5,36.64423991491168,3.3876263133961837,46.80711885510023,26.481360974723128
693,23.5,87.5,36.51483819887908,3.1734620071482587,46.03522422032386,26.994452177434297
697,23.5,88.5,35.73842317238451,2.763187693027774,44.02798625146783,27.44886009330118
701,23.5,91.5,29.887282476222826,2.209872246973298,36.51689921714272,23.25766573530293
705,23.5,92.5,29.244887458050272,2.2592381907050534,36.02260203016543,22.46717288593511
709,23.5,93.5,29.318157325684176,2.4163579056602558,36.567231042664936,22.06908360870341
713,24.5,68.5,34.76107791610055,2.6569882357110206,42.73204262323361,26.790113208967487
717,24.5,69.5,35.27729637771739,2.832765083046233,43.7755916268561,26.77900112857869
721,24.5,70.5,35.28906231606658,2.949261383612172,44.136846466903094,26.44127816523006
725,24.5,71.5,36.64329057302989,3.3372004392683747,46.654891890835025,26.63168925522477
729,24.5,72.5,36.887329743885864,3.571169495340417,47.60083822990713,26.173821257864624
733,24.5,73.5,36.6368161543818,3.5291984532263334,47.22441151406079,26.0492207947028
737,24.5,74.5,37.2535197849864,3.761419065575664,48.5377769817134,25.969262588259422
741,24.5,75.5,37.68424279636549,3.9872470965757287,49.64598408609268,25.722501506638302
745,24.5,76.5,37.71483832931386,4.0524864439025245,49.872297661021435,25.557378997606282
749,24.5,77.5,38.09364395652175,4.1962664630455855,50.682443345658506,25.504844567384986
753,24.5,78.5,38.10586242289403,4.29212318868177,50.982231988939326,25.22949285684871
757,24.5,79.5,38.144590617017656,4.419374942367208,51.402715444119295,24.886465789916038
761,24.5,80.5,38.041390934273096,4.422850140642214,51.309941356199744,24.77284051234645
765,24.5,81.5,37.802334019870926,4.4494889386994485,51.150800835969285,24.45386720377259
769,24.5,82.5,37.49649584018342,4.25813997180666,50.2709157556034,24.72207592476344
773,24.5,83.5,37.09282126800272,4.1276884189168985,49.475886524753406,24.709756011252022
777,24.5,84.5,36.43031281012228,4.0106027507749085,48.462121062447004,24.39850455779755
781,24.5,85.5,36.3370381985394,3.80087379545663,47.73965958490928,24.934416812169513
785,24.5,86.5,36.25433029211957,3.470735539396686,46.66653691030963,25.84212367392951
789,24.5,87.5,35.90876248539403,3.1655624212058737,45.40544974901165,26.412075221776405
793,24.5,88.5,35.51431122231657,2.9788331442208253,44.45081065497904,26.577811789654103
797,24.5,91.5,29.4286607858356,2.2998832800307385,36.32831062592781,22.52901094574338
801,24.5,92.5,29.21203275764266,2.3223984414475503,36.17922808198532,22.244837433300013
805,24.5,93.5,29.253962816205195,2.415320800467712,36.49992521760833,22.008000414802066
809,24.5,94.5,28.916654126231734,2.4400738515241382,36.236875680804154,21.59643257165932
813,25.5,70.5,36.709439130774456,3.623493217919684,47.579918784533504,25.83895947701541
817,25.5,71.5,36.8970272922894,3.807599327532341,48.31982527488642,25.47422930969238
821,25.5,72.5,36.82789125135871,3.7494126746108334,48.0761292751912,25.579653227526197
825,25.5,73.5,36.34725046976902,3.871395371754226,47.9614365850317,24.733064354506343
829,25.5,74.5,37.11802476749321,4.032149358874733,49.2144728441174,25.02157669086901
833,25.5,75.5,37.40494057133152,4.3811513439164855,50.54839460308098,24.261486539582066
837,25.5,76.5,37.47799294004754,4.489999299557216,50.947990838719186,24.007995041375903
841,25.5,77.5,37.825971078125,4.61545562145449,51.67233794248847,23.97960421376153
845,25.5,78.5,37.992667126358704,4.606256718649309,51.811437282306635,24.173896970410773
849,25.5,79.5,37.96727131436821,4.58847825435835,51.732706077443254,24.20183655129316
853,25.5,80.5,37.83262997927989,4.548892496972306,51.47930747019682,24.18595248836297
857,25.5,81.5,37.58539384086278,4.418363745550204,50.84048507751338,24.33030260421216
861,25.5,82.5,37.03664206029213,4.177570860146305,49.56935464073104,24.50392947985321
865,25.5,83.5,36.71889731368885,3.998077015192687,48.71312835926692,24.724666268110795
869,25.5,84.5,35.94916184748641,3.856605327704308,47.518977830599326,24.379345864373484
873,25.5,85.5,35.721832556895386,3.730971484133885,46.91474700929703,24.528918104493734
877,25.5,86.5,35.31197044412364,3.3567991234205112,45.38236781438518,25.241573073862103
881,25.5,87.5,34.38594476579483,2.9311154797644847,43.17929120508829,25.592598326501374
885,25.5,88.5,33.75273183186141,2.7812537645968685,42.096493125652025,25.408970538070804
889,25.5,90.5,29.73898114402174,2.3301274176815707,36.72936339706646,22.74859889097703
893,25.5,91.5,29.03538329279891,2.3822022578666915,36.181990066398996,21.88877651919884
897,25.5,92.5,28.993196720788045,2.398723172970899,36.18936623970074,21.797027201875352
901,25.5,93.5,28.73511396246603,2.4420830730861707,36.061363181724545,21.40886474320752
905,25.5,94.5,29.873127400271834,2.54119953134216,37.49672599429831,22.249528806245355
909,26.5,70.5,37.04486382472826,3.9370669278772095,48.85606460835989,25.23366304109663
913,26.5,71.5,36.84341814130435,4.04792395674424,48.987190011537066,24.69964627107163
917,26.5,72.5,36.76070683882472,4.113179499211065,49.10024533645792,24.42116834119153
921,26.5,73.5,37.31267557846467,4.2179745670099145,49.96659927949442,24.65875187743493
925,26.5,74.5,37.20701890845788,4.505153471267075,50.72247932225911,23.691558494656658
929,26.5,75.5,36.83117669327446,4.608014607858891,50.65522051685113,23.007132869697784
933,26.5,76.5,37.43786016287363,4.837280498278801,51.94970165771004,22.92601866803723
937,26.5,77.5,37.545464809952435,4.844458744710317,52.0788410440834,23.01208857582149
941,26.5,78.5,37.83846620499321,4.866149655949894,52.436915172842895,23.24001723714353
945,26.5,79.5,37.4627302063519,4.661343756329707,51.44676147534103,23.47869893736278
949,26.5,80.5,36.79635717357336,4.366716054510817,49.896505337105815,23.696209010040928
953,26.5,81.5,36.83454868529211,4.3300255544982456,49.82462534878685,23.844472021797387
957,26.5,82.5,36.81193859969429,4.111982981743989,49.14788754492626,24.475989654462328
961,26.5,83.5,36.08444335852582,3.927611687440713,47.86727842084795,24.30160829620368
965,26.5,84.5,35.36535829619565,3.6969104220157862,46.45608956224302,24.274627030148306
969,26.5,85.5,35.113231891474186,3.549767462900713,45.762534280176325,24.46392950277205
973,26.5,86.5,34.29775493257473,3.161421101737523,43.78201823778729,24.81349162736216
977,26.5,87.5,29.686809146229614,2.8787669801590132,38.323110086706656,21.05050820575258
981,26.5,88.5,28.6897570827106,2.605111681537956,36.50509212732446,20.874422038096732
985,26.5,89.5,28.652157562839676,2.5102823904959557,36.18300473432754,21.121310391351805
989,26.5,90.5,28.055268562500004,2.4010834495423627,35.2585189111271,20.85201821387292
993,26.5,91.5,29.002748969259514,2.3979931220471107,36.196728335400856,21.808769603118183
997,26.5,92.5,28.89483238094429,2.4508340750469197,36.247334606085055,21.542330155803533
1001,26.5,93.5,30.036931401494567,2.5442591538180217,37.66970886294863,22.404153940040498
1005,26.5,94.5,29.416135423037723,2.668700762916819,37.42223771178818,21.410033134287268
1009,26.5,95.5,29.40595271149269,2.6934742075511653,37.48637533414618,21.325530088839194
1013,27.5,69.5,37.04437664249321,4.000710957383915,49.04650951464496,25.042243770341464
1017,27.5,70.5,36.947214477581525,4.17760561728957,49.48003132945023,24.41439762571281
1021,27.5,71.5,36.96163456776493,4.317325704827692,49.91361168224802,24.009657453281864
1025,27.5,72.5,37.52104512771739,4.4353721449323515,50.827161562514455,24.214928692920342
1029,27.5,73.5,36.9662375910326,4.673942362165048,50.98806467752775,22.944410504537448
1033,27.5,74.5,36.8891420716712,4.693842723744981,50.97067024290614,22.807613900436248
1037,27.5,75.5,36.26345283423913,4.94101144758937,51.08648717700724,21.440418491471018
1041,27.5,76.5,36.18970100509511,5.016546777444698,51.2393413374292,21.140060672761017
1045,27.5,77.5,36.70060436633832,5.1132337390867,52.040305583598425,21.36090314907822
1049,27.5,78.5,37.24446958220109,4.9212441163254335,52.008201931177396,22.480737233224787
1053,27.5,79.5,36.329731623641315,4.692651281300258,50.40768546754207,22.25177777974053
1057,27.5,80.5,36.18950557506793,4.39726146383693,49.38128996657872,22.997721183557143
1061,27.5,81.5,36.276221512398095,4.270855927917449,49.08878929615044,23.46365372864575
1065,27.5,82.5,36.15058995855978,4.063820883683719,48.34205260961093,23.95912730750862
1069,27.5,83.5,35.81566111531929,3.858529090793068,47.3912483876985,24.24007384294009
1073,27.5,84.5,35.325360904042114,3.712131338123693,46.4617549184132,24.18896688967105
1077,27.5,88.5,28.460718140794835,2.6090222859003718,36.28778499849596,20.63365128309372
1081,27.5,89.5,27.954808515964675,2.483142293117329,35.40423539531666,20.505381636612693
1085,27.5,90.5,27.85307339317256,2.419937544692918,35.112886027251314,20.5932607590938
1089,27.5,91.5,28.952473415930704,2.3934525317837605,36.13283101128199,21.772115820579423
1093,27.5,92.5,29.47802986124321,2.522315803025997,37.044977270321205,21.911082452165214
1097,27.5,93.5,29.42084659324049,2.6570688875765716,37.39205325597021,21.449639930510774
1101,27.5,94.5,29.585603152669158,2.7348925782328664,37.79028088736776,21.380925417970566
1105,27.5,95.5,29.58059660948657,2.725587895230081,37.75736029517681,21.403832923796326
1109,28.5,70.5,37.29836706759511,4.721481554953788,51.462811732456466,23.133922402733745
1113,28.5,71.5,37.13668198046875,4.820147017691839,51.59712303354426,22.676240927393238
1117,28.5,72.5,36.849843545855975,4.9321514505752555,51.646297897581746,22.0533891941302
1121,28.5,73.5,36.73107811956521,5.031409918298263,51.82530787446,21.63684836467042
1125,28.5,74.5,36.15207407914402,5.2612011759593225,51.93567760702199,20.368470551266054
1129,28.5,75.5,36.08360541287365,5.1770991168027125,51.61490276328178,20.552308062465507
1133,28.5,76.5,35.955026902513595,5.2711216427130685,51.76839183065279,20.141661974374387
1137,28.5,77.5,35.83837770584239,5.20298732483491,51.44733968034712,20.22941573133766
1141,28.5,78.5,35.53367082965353,4.973915573206937,50.45541754927434,20.611924110032717
1145,28.5,79.5,33.88566379738452,4.68130466042591,47.92957777866225,19.841749816106784
1149,28.5,80.5,34.20178543121603,4.503771861532832,47.71310101581453,20.690469846617532
1153,28.5,81.5,34.28212470991848,4.314351458066556,47.22517908411814,21.33907033571881
1157,28.5,88.5,28.535369522588315,2.629012107920569,36.42240584635002,20.64833319882661
