,lat,lon,avg,std,spike,reduction
3,8.5,73.5,31.218795282778537,1.0694689375042237,34.42720209529121,28.010388470265866
7,8.5,76.5,29.876868113451085,1.0610792073198263,33.06010573541057,26.693630491491604
11,8.5,77.5,31.209581949728257,1.154411554864397,34.67281661432145,27.746347285135066
15,8.5,78.5,30.8340584245924,1.4550556315037289,35.19922531910358,26.46889153008121
19,9.5,76.5,29.923631780400815,1.0772092512758449,33.15525953422836,26.692004026573287
23,9.5,77.5,29.89763354330842,1.175717802636491,33.42478695121789,26.370480135398946
27,9.5,78.5,29.57846396365489,1.8186224550654568,35.03433132885126,24.122596598458518
31,9.5,79.5,30.64514035444973,1.9097650403776836,36.37443547558279,24.915845233316684
35,10.5,75.5,28.936677299252718,1.0610889034789963,32.119944009689696,25.753410588815733
39,10.5,76.5,27.376590841202447,1.1227679123655545,30.744894578299107,24.008287104105783
43,10.5,77.5,28.29606593733017,1.569135580706878,33.0034726794508,23.58865919520953
47,10.5,78.5,30.887635642832883,1.9148584743354475,36.63221106583923,25.14306021982654
51,10.5,79.5,30.48764443546196,1.9580780647110725,36.36187862959517,24.613410241328737
55,11.5,72.5,30.154272521059784,1.1442632254980305,33.58706219755388,26.721482844565692
59,11.5,75.5,28.13502012245245,1.0713786995444214,31.349156221085714,24.920884023819184
63,11.5,76.5,27.44703631555707,1.1686237080987418,30.952907439853288,23.941165191260843
67,11.5,77.5,28.113579532269025,1.4625577568196886,32.50125280272809,23.72590626180996
71,11.5,78.5,30.729191938179344,1.9415983577966145,36.553987011569184,24.9043968647895
75,11.5,79.5,30.49902235580842,1.99740731759702,36.49124430859949,24.50680040301736
79,12.5,74.5,29.328596719769017,1.1586818110277801,32.80464215285236,25.85255128668568
83,12.5,75.5,28.85135027173913,1.1200380246309154,32.21146434563188,25.491236197846387
87,12.5,76.5,25.73052114317256,1.2614569517484475,29.51489199841789,21.946150287927214
91,12.5,77.5,28.238792743546195,1.5748524821160412,32.96335018989432,23.51423529719807
95,12.5,78.5,29.053015288383154,1.9092355300035209,34.78072187839371,23.325308698372588
99,12.5,79.5,30.465072259850544,2.080982829059921,36.708020747030304,24.22212377267078
103,12.5,80.5,30.36544004568614,2.0767687748008905,36.59574637008881,24.135133721283463
107,13.5,74.5,29.32158182931386,1.1916521818994221,32.89653837501213,25.746625283615593
111,13.5,75.5,28.861806481148093,1.1680302855129046,32.36589733768681,25.357715624609384
115,13.5,76.5,27.84428952004076,1.3367836774761557,31.85464055246923,23.83393848761229
119,13.5,77.5,27.62210404959239,1.6414612179757957,32.54648770351978,22.697720395665
123,13.5,78.5,28.726361185971466,1.9038753319462507,34.437987181810215,23.014735190132715
127,13.5,79.5,29.75627218597147,2.100335670492098,36.05727919744777,23.455265174495178
131,13.5,80.5,30.40903554806386,2.1138742442199363,36.75065828072367,24.06741281540405
135,14.5,74.5,30.77208285207201,1.2920687348731548,34.64828905669148,26.89587664745255
139,14.5,75.5,29.447799958899456,1.2342059588004648,33.15041783530085,25.745182082498058
143,14.5,76.5,28.668601772248646,1.3851769190519077,32.82413252940437,24.513071015092923
147,14.5,77.5,29.34368750696332,1.7153700025347256,34.48979751456749,24.19757749935914
151,14.5,78.5,29.68201495363451,1.936835565073756,35.49252164885577,23.87150825841324
155,14.5,79.5,30.34502465506114,2.0598678782127524,36.5246282896994,24.165421020422887
159,14.5,80.5,30.6309430859375,2.0073881567397738,36.65310755615682,24.60877861571818
163,15.5,73.5,31.488685512907608,1.4011516986730637,35.6921406089268,27.285230416888414
167,15.5,74.5,31.276927692085597,1.3636825508852783,35.367975344741424,27.18588003942976
171,15.5,75.5,30.375262669497285,1.3479893880007854,34.41923083349964,26.331294505494927
175,15.5,76.5,30.180573041270375,1.649310581451544,35.12850478562501,25.232641296915745
179,15.5,77.5,30.607736544327448,1.7604175321833826,35.8889891408776,25.326483947777295
183,15.5,78.5,31.07092894004755,1.86386386085646,36.66252052261693,25.47933735747817
187,15.5,79.5,31.07474683203125,1.8374948276608445,36.58723131501378,25.56226234904872
191,15.5,80.5,30.71620985580842,1.8441412522557143,36.24863361257557,25.18378609904128
195,16.5,73.5,31.73652748029892,1.3733344163684726,35.856530729404334,27.616524231193498
199,16.5,74.5,30.858799424422553,1.338637902107643,34.874713130745484,26.842885718099623
203,16.5,75.5,30.456066489300277,1.5441342979298414,35.088469383089794,25.823663595510748
207,16.5,76.5,30.411514845278536,1.7674475381757666,35.713857459805844,25.109172230751234
211,16.5,77.5,30.275963320142665,1.822876782056975,35.7445936663136,24.80733297397174
215,16.5,78.5,30.27712878736413,1.8263231673732732,35.756098289483944,24.798159285244306
219,16.5,79.5,30.71155123930027,1.7997836698417258,36.110902248825454,25.31220022977509
223,16.5,80.5,30.81043612449049,1.7934955476471257,36.19092276743185,25.42994948154911
227,16.5,81.5,30.61617664130435,1.7638199911508827,35.907636614756996,25.3247166678517
231,16.5,82.5,30.435501801970105,1.736428752559616,35.64478805964895,25.226215544291254
235,17.5,73.5,30.64724249524457,1.391620230048792,34.822103185390944,26.47238180509819
239,17.5,74.5,30.48770696993886,1.5028473242584357,34.996248942714175,25.979164997163547
243,17.5,75.5,30.957761585597826,1.6446587689128047,35.89173789233624,26.02378527885941
247,17.5,76.5,30.607147947860057,1.8385173547601148,36.1227000121404,25.091595883579718
251,17.5,77.5,30.086935077955165,1.8559192431999407,35.654692807554994,24.519177348355345
255,17.5,78.5,30.21637413790761,1.8826173808326632,35.8642262804056,24.568521995409625
259,17.5,79.5,30.67753998148777,1.849125648151181,36.22491692594132,25.13016303703423
263,17.5,80.5,30.24750265421196,1.7734997001915465,35.56800175478659,24.92700355363732
267,17.5,81.5,29.74633443478261,1.71119129437951,34.87990831792114,24.612760551644076
271,17.5,82.5,29.43608296688179,1.7699579283181148,34.745956751836125,24.126209181927447
275,17.5,83.5,29.230350525985056,1.8135051732449776,34.67086604571998,23.78983500625012
279,18.5,72.5,31.25699669921875,1.5384797376285253,35.87243591210432,26.64155748633317
283,18.5,73.5,30.839383536005435,1.5259512927290158,35.417237414192485,26.26152965781839
287,18.5,74.5,30.442848199558426,1.5745058377711847,35.16636571287198,25.71933068624487
291,18.5,75.5,30.9358413469769,1.9122404651318567,36.67256274237247,25.19911995158133
295,18.5,76.5,30.66914508169158,1.9092988618179587,36.39704166714545,24.941248496237698
299,18.5,77.5,30.21050170278532,1.9253807065473825,35.98664382242747,24.434359583143177
303,18.5,78.5,30.22618611531929,1.9069849955109337,35.94714110185209,24.505231128786487
307,18.5,79.5,30.62172441881793,1.8748561719999195,36.24629293481769,24.997155902818168
311,18.5,80.5,30.067588717561144,1.8040316632459403,35.47968370729897,24.655493727823323
