Latitude,Longitude,Point_ID,avg,std,spike,reduction
8.5,73.5,1,31.370023208632787,1.6689416620934112,36.37684819491302,26.363198222352555
8.5,76.5,2,30.660473642026012,1.4871396952137121,35.121892727667145,26.199054556384876
8.5,77.5,3,32.44925081327002,1.5981288163396603,37.243637262289,27.65486436425104
8.5,78.5,4,32.59690647899555,1.9302471443847713,38.387647912149866,26.806165045841237
9.5,76.5,5,30.698617948451403,1.7951156132096593,36.08396478808038,25.313271108822427
9.5,77.5,6,31.255633741786447,1.6607966047770502,36.2380235561176,26.273243927455297
9.5,78.5,7,31.891262561088297,2.426727960975649,39.171446444015245,24.61107867816135
9.5,79.5,8,33.12907689831451,2.6301967346686665,41.01966710232051,25.23848669430851
10.5,75.5,9,29.597364714579054,1.9804468724698143,35.538705331988496,23.656024097169613
10.5,76.5,10,28.41785833906571,2.0132568984988533,34.45762903456227,22.37808764356915
10.5,77.5,11,30.459769521517796,2.392692158012868,37.6378459955564,23.28169304747919
10.5,78.5,12,33.725667199178645,2.781230318236626,42.06935815388852,25.381976244468767
10.5,79.5,13,33.14546813034736,2.793119624960241,41.52482700522808,24.766109255466638
11.5,72.5,14,30.068935399041752,2.1149753630669954,36.41386148824274,23.724009309840767
11.5,75.5,15,28.67566324790383,2.158735087618269,35.15186851075864,22.199457985049023
11.5,76.5,16,28.696120093086925,2.3400007206741367,35.71612225510933,21.676117931064518
11.5,77.5,17,30.012046783838127,2.4802350562091036,37.452751952465434,22.571341615210816
11.5,78.5,18,33.785598889330934,2.978881304972913,42.722242804249674,24.848954974412194
11.5,79.5,19,33.179602748631076,2.9018442934820405,41.8851356290772,24.474069868184955
12.5,74.5,20,29.432629350231004,2.464915008389018,36.82737437539806,22.03788432506395
12.5,75.5,21,29.24345585189938,2.5056179243936993,36.76030962508048,21.726602078718283
12.5,76.5,22,27.344047829611565,2.5840799803049297,35.09628777052635,19.591807888696778
12.5,77.5,23,30.73449090507358,2.8284739269252888,39.21991268584945,22.249069124297716
12.5,78.5,24,32.10708725675907,3.114077783010855,41.44932060579164,22.764853907726508
12.5,79.5,25,33.570978583333336,3.238859217607606,43.28755623615615,23.85440093051052
12.5,80.5,26,33.41862882276694,3.2558981339380466,43.18632322458108,23.6509344209528
13.5,74.5,27,29.486969312114994,2.540226507972194,37.10764883603157,21.86628978819841
13.5,75.5,28,29.357406986096848,2.696662994917527,37.44739597084943,21.267418001344268
13.5,76.5,29,29.58430533637064,2.8949999306946026,38.26930512845445,20.899305544286833
