,lat,lon,avg,std,spike,reduction
2,8.5,73.5,29.871933070824795,1.2576977068740598,33.645026191446966,26.098839950202613
6,8.5,76.5,29.971833801485648,1.2225676351400787,33.639536706905886,26.30413089606542
10,8.5,77.5,32.260335767674185,1.1966707524187696,35.850348024930504,28.67032351041788
14,8.5,78.5,33.40701415420082,1.1734850003919215,36.927469155376585,29.886559153025054
18,9.5,76.5,29.481389498719267,1.3263283878948775,33.460374662403886,25.50240433503463
22,9.5,77.5,31.13924139869365,1.2259908791012524,34.81721403599741,27.46126876138989
26,9.5,78.5,33.2814923125,1.2879961523507786,37.145480769552336,29.417503855447663
30,9.5,79.5,34.77056900230533,1.3986325526756664,38.96646666033233,30.574671344278325
34,10.5,75.5,28.04625798527152,1.4266733569635768,32.326278056162245,23.76623791438079
38,10.5,76.5,27.188984856941598,1.4121559910079298,31.42545282996539,22.95251688391781
42,10.5,77.5,30.421746820952873,1.390003504462531,34.591757334340464,26.251736307565274
46,10.5,78.5,35.13191025550717,1.4419452856496209,39.45774611245604,30.806074398558305
50,10.5,79.5,34.97370559810451,1.5206264112742864,39.535584831927366,30.411826364281648
54,11.5,72.5,27.85552424679816,1.372893250996993,31.974203999789143,23.736844493807176
58,11.5,75.5,26.804070386142417,1.5055845730179798,31.320824105196362,22.28731666708848
62,11.5,76.5,27.233834527151643,1.524165755590502,31.806331793923146,22.66133726038013
66,11.5,77.5,29.20826740189549,1.4896419648335406,33.677193296396105,24.739341507394872
70,11.5,78.5,34.91239581352459,1.6212546381017627,39.77615972782988,30.048631899219302
74,11.5,79.5,35.20540391867315,1.6518369318314454,40.160914714167475,30.249893123178808
78,12.5,74.5,26.900554093493852,1.6215122680269318,31.765090897574648,22.036017289413056
82,12.5,75.5,26.816917070440567,1.6427271663242058,31.74509856941319,21.888735571467954
86,12.5,76.5,25.886496689293033,1.6080283586633135,30.71058176528297,21.062411613303087
90,12.5,77.5,30.23457139369877,1.6429107008777395,35.163303496331984,25.30583929106555
94,12.5,78.5,32.47137637692111,1.754297409221342,37.73426860458513,27.208484149257078
98,12.5,79.5,35.20107627651127,1.9609922657668488,41.08405307381181,29.31809947921073
102,12.5,80.5,35.29548471772541,1.9794572063783515,41.23385633686046,29.357113098590354
106,13.5,74.5,26.90761606685451,1.6477340019883235,31.850818072819482,21.96441406088954
110,13.5,75.5,26.76741615471311,1.7286699596054518,31.953426033529468,21.581406275896764
114,13.5,76.5,27.8133455805584,1.7406947517686888,33.03542983586446,22.59126132525233
118,13.5,77.5,29.264600371798164,1.751549357655683,34.5192484447652,24.00995229883111
122,13.5,78.5,31.997016829149594,1.9005225423865983,37.69858445630939,26.295449201989797
126,13.5,79.5,34.35533615625,2.105902386766871,40.673043316550604,28.037628995949387
130,13.5,80.5,35.260998189677245,2.152638610250477,41.718914020428684,28.80308235892582
134,14.5,74.5,28.356168125256147,1.7186740614966125,33.51219030974598,23.200145940766312
138,14.5,75.5,27.994906813780734,1.8379293322623131,33.508694810567675,22.4811188169938
142,14.5,76.5,28.36913671016905,1.9021037277706736,34.075447893481076,22.662825526857034
146,14.5,77.5,31.438080028944672,2.0531949045966345,37.59766474273457,25.27849531515477
150,14.5,78.5,33.1639079921875,2.141741723605953,39.589133163005364,26.73868282136964
154,14.5,79.5,34.783774584528686,2.2878398901805586,41.64729425507036,27.920254913987016
158,14.5,80.5,35.212487545594264,2.4049578425865628,42.42736107335395,27.997614017834568
162,15.5,73.5,28.871685020876022,1.7108982943629671,34.004379903964924,23.738990137787123
166,15.5,74.5,28.816335422899588,1.7959380152793247,34.20414946873757,23.428521377061614
170,15.5,75.5,29.29861243404201,1.9842337612510463,35.25131371779515,23.345911150288874
174,15.5,76.5,31.02435568045594,2.276496416126011,37.85384492883397,24.19486643207791
